CPU_STREAM_START_UTC 2026-09-14T20:35:25Z
Linux 6.8.0-138-generic (bench-driver-1) 	09/14/26 	_x86_64_	(8 CPU)

20:35:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:26     all   93.51    0.00    6.24    0.00    0.00    0.00    0.00    0.00    0.00    0.25
20:35:26       0   88.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:26       1   87.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
20:35:26       2   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:26       3   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:26       4   90.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
20:35:26       5   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:26       6   92.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:26       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

20:35:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:27     all   95.24    0.00    4.51    0.00    0.00    0.00    0.00    0.00    0.00    0.25
20:35:27       0   91.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:27       1   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:27       2   87.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
20:35:27       3   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
20:35:27       4   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:27       5   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:27       6   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:27       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

20:35:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:28     all   96.88    0.00    2.87    0.00    0.00    0.12    0.00    0.00    0.00    0.12
